"ID","Status","Comment","Assertion"
"td-form-href-relative","null","not testable with Assertion Tester","To properly build the target URI, if base is present in the Thing level, the href value MUST be resolved using the base URI."
"td-form-protocolbindings","null","not testable with Assertion Tester","If required, form objects MAY be supplemented with protocol-specific Vocabulary Terms identified with a prefix."
"td-format-validation-known-values","null","not testable with Assertion Tester","Servients MAY use the format value to perform additional validation accordingly."
"td-format-validation-other-values","null","not testable with Assertion Tester","When a value that is not found in the known set of values is assigned to format, such a validation SHOULD succeed."
"td-forms","null","not testable with Assertion Tester","All name-value pairs of an instance of Form, where the name is a Vocabulary Term included in the Signature of Form, MUST be serialized as members of the JSON object that results from serializing the Form instance, with the Vocabulary Term as name."
"td-integer-type","null","not testable with Assertion Tester","Values that are of type integer or unsignedInt MUST be serialized as JSON numbers without a fraction or exponent part."
"td-json-open","null","not testable with Assertion Tester","TDs MUST be serialized according to the requirements defined in Section 8.1 of RFC8259 [[!RFC8259]] for open ecosystems."
"td-json-open_accept-byte-order","null","not testable with Assertion Tester","TD Processors MAY ignore the presence of a byte order mark rather than treating it as an error."
"td-json-open_no-byte-order","null","not testable with Assertion Tester","Implementations MUST NOT add a byte order mark (U+FEFF) to the beginning of a TD document."
"td-json-open_utf-8","null","not testable with Assertion Tester","TDs MUST be encoded using UTF-8 [[!RFC3629]]."
"td-links","null","not testable with Assertion Tester","All name-value pairs of an instance of Link, where the name is a Vocabulary Term included in the Signature of Link, MUST be serialized as members of the JSON object that results from serializing the Link instance, with the Vocabulary Term as name."
"td-map-type","null","not testable with Assertion Tester","A value of type Map MUST be serialized as a JSON object, with each name-value pair as member of the JSON object."
"td-metadata-mandatory","null","not testable with Assertion Tester","Accordingly, to be considered a Thing, an instance MUST be represented by at least one available WoT Thing Description (TD)."
"td-multi-languages","null","not testable with Assertion Tester","All name-value pairs of a MultiLanguage Map MUST be serialized as members of a JSON object, where the name is a valid language tag as defined by [[!BCP47]] (also see [[I18N-Glossary]]) and the value is a human-readable string in the language indicated by the tag."
"td-multi-languages-consistent","null","not testable with Assertion Tester","All MultiLanguage object within a TD document SHOULD contain the same set of language members."
"td-multi-languages_descriptions","null","not testable with Assertion Tester","Whenever the vocabulary terms descriptions can be used it MUST be serialized as JSON object. The member names of the JSON Object MUST be the language tags as defined in [[BCP47]] (e.g."
"td-multi-languages_titles","null","not testable with Assertion Tester","Whenever the vocabulary terms titles can be used it MUST be serialized as JSON object. The member names of the JSON Object MUST be the language tags as defined in [[BCP47]] (e.g."
"td-multilanguage-language-tag","null","not testable with Assertion Tester","Each name of the MultiLanguage Map MUST be a language tag as defined in [[!BCP47]]."
"td-multilanguage-value","null","not testable with Assertion Tester","Each value of the MultiLanguage Map MUST be of type string."
"td-ns-multilanguage-content-negotiation","null","not testable with Assertion Tester","In cases where the default language has been negotiated, an @language member MUST be present to indicate the result of the negotiation and the corresponding default language of the returned content."
"td-ns-multilanguage-content-negotiation-no-multi","null","not testable with Assertion Tester","When the default language has been negotiated successfully, TD documents SHOULD include the appropriate matching values for the members title and description in preference to MultiLanguage objects in titles and descriptions members."
"td-ns-multilanguage-content-negotiation-optional","null","not testable with Assertion Tester","Note however that Things MAY choose to not support such dynamically-generated TDs nor to support language negotiation (e.g., because of resource constraints)."
"td-number-type","null","not testable with Assertion Tester","Values that are of type double MUST be serialized as JSON number."
"td-objects","null","not testable with Assertion Tester","All values assigned to version, securityDefinitions, descriptions, schemaDefinitions, uriVariables, properties, actions, and events in an instance of the Class Thing MUST be serialized as JSON objects."
"td-objects_actions","null","not testable with Assertion Tester","The type of the members actions MUST be serialized as a JSON object."
"td-objects_descriptions","null","not testable with Assertion Tester","The type of the members descriptions MUST be serialized as a JSON object."
"td-objects_events","null","not testable with Assertion Tester","The type of the members events MUST be serialized as a JSON object."
